25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	25.0	28.4	25.0	28.4	25.0	28.4	25.0	28.4	25.0	28.4	25.0	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	25.0	42.2	38.8	45.6	38.8	45.6	38.8	45.6	38.8	45.6	38.8	31.9	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	42.2	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	38.8	28.4	25.0	25.0	25.0	
25.0	25.0	25.0	28.4	38.8	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	45.6	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	45.6	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	38.8	28.4	25.0	25.0	25.0	
25.0	25.0	25.0	28.4	38.8	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	45.6	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	45.6	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	38.8	28.4	25.0	25.0	25.0	
25.0	25.0	25.0	28.4	38.8	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	45.6	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	45.6	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	38.8	28.4	25.0	25.0	25.0	
25.0	25.0	25.0	28.4	38.8	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	45.6	25.0	25.0	25.0	25.0	
25.0	25.0	25.0	25.0	45.6	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	38.8	28.4	25.0	25.0	25.0	
