25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	
25.0	26.8	28.5	30.3	31.9	33.3	34.3	35.0	35.4	35.5	35.5	35.4	35.0	34.3	33.3	31.9	30.3	28.5	26.8	25.0	
25.0	28.5	32.1	35.7	39.1	42.0	44.0	45.2	45.9	46.2	46.2	45.9	45.2	44.0	42.0	39.1	35.7	32.1	28.5	25.0	
25.0	30.3	35.7	41.2	46.7	51.6	54.5	56.1	56.9	57.2	57.2	56.9	56.1	54.5	51.6	46.7	41.2	35.7	30.3	25.0	
25.0	31.9	39.1	46.7	55.0	63.2	66.4	67.7	68.2	68.5	68.5	68.2	67.7	66.4	63.2	55.0	46.7	39.1	31.9	25.0	
25.0	33.3	42.0	51.6	63.2	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	63.2	51.6	42.0	33.3	25.0	
25.0	34.3	44.0	54.5	66.4	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	66.4	54.5	44.0	34.3	25.0	
25.0	35.0	45.2	56.1	67.7	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	67.7	56.1	45.2	35.0	25.0	
25.0	35.4	45.9	56.9	68.2	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	68.2	56.9	45.9	35.4	25.0	
25.0	35.5	46.2	57.2	68.5	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	68.5	57.2	46.2	35.5	25.0	
25.0	35.5	46.2	57.2	68.5	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	68.5	57.2	46.2	35.5	25.0	
25.0	35.4	45.9	56.9	68.2	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	68.2	56.9	45.9	35.4	25.0	
25.0	35.0	45.2	56.1	67.7	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	67.7	56.1	45.2	35.0	25.0	
25.0	34.3	44.0	54.5	66.4	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	66.4	54.5	44.0	34.3	25.0	
25.0	33.3	42.0	51.6	63.2	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	63.2	51.6	42.0	33.3	25.0	
25.0	31.9	39.1	46.7	55.0	63.2	66.4	67.7	68.2	68.5	68.5	68.2	67.7	66.4	63.2	55.0	46.7	39.1	31.9	25.0	
25.0	30.3	35.7	41.2	46.7	51.6	54.5	56.1	56.9	57.2	57.2	56.9	56.1	54.5	51.6	46.7	41.2	35.7	30.3	25.0	
25.0	28.5	32.1	35.7	39.1	42.0	44.0	45.2	45.9	46.2	46.2	45.9	45.2	44.0	42.0	39.1	35.7	32.1	28.5	25.0	
25.0	26.8	28.5	30.3	31.9	33.3	34.3	35.0	35.4	35.5	35.5	35.4	35.0	34.3	33.3	31.9	30.3	28.5	26.8	25.0	
25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	
